Data Type Code,Data Type Description,Data Time,Data Value,Unit
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-01T08:30:02,55,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-01T17:30:02,62,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-02T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-02T17:30:02,61,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-03T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-03T17:30:02,60,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-04T08:30:02,81,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-04T17:30:02,59,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-05T08:30:02,80,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-05T17:30:02,58,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-06T08:30:02,80,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-06T17:30:02,50,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-07T08:30:02,90,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-07T17:30:02,28,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-08T08:30:02,80,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-08T17:30:02,30,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-09T08:30:02,89,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-09T17:30:02,28,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-10T08:30:02,89,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-10T17:30:02,38,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-11T08:30:02,79,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-11T17:30:02,36,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-12T08:30:02,78,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-12T17:30:02,35,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-13T08:30:02,78,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-13T17:30:02,33,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-14T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-14T17:30:02,38,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-15T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-15T17:30:02,43,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-16T08:30:02,68,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-16T17:30:02,45,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-17T08:30:02,68,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-17T17:30:02,43,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-18T08:30:02,59,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-18T17:30:02,33,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-19T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-07-19T17:30:02,59,%
