Data Type Code,Data Type Description,Data Time,Data Value,Unit
QCO,MANUAL-Observed Discharge 4,2002-02-01T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-02T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-03T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-04T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-05T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-07T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-08T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-09T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-10T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-11T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-12T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-13T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-14T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-02-15T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-01T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-02T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-03T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-05T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-06T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-07T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-08T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-09T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-10T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-03-11T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-16T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-17T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-18T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-19T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-20T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-21T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-22T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-23T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-25T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-26T08:00:00,0.235,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-27T08:00:00,0.202,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-28T08:00:00,0.202,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-29T08:00:00,0.202,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-06-30T08:00:00,0.078,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-07-02T08:00:00,0.144,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-17T08:00:00,5.02,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-18T08:00:00,1.569,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-19T08:00:00,0.908,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-20T08:00:00,0.624,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-21T08:00:00,0.401,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-09-22T08:00:00,0.312,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-13T08:00:00,1.075,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-14T08:00:00,2.181,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-15T08:00:00,16.39,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-20T08:00:00,1.259,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-27T08:00:00,0.624,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-10-30T08:00:00,16.39,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-03T08:00:00,1.569,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-04T08:00:00,1.569,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-10T08:00:00,1.165,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-17T08:00:00,0.563,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-19T08:00:00,0.401,m3/sec
QCO,MANUAL-Observed Discharge 4,2002-11-24T08:00:00,0.119,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-10-16T08:00:00,0.11,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-10-17T08:00:00,11.71,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-10-23T08:00:00,5.05,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-10-30T08:00:00,4.72,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-01T08:00:00,4.5,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-03T08:00:00,13.37,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-04T08:00:00,12.26,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-05T08:00:00,11.71,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-06T08:00:00,11.15,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-13T08:00:00,4.5,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-15T08:00:00,1.95,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-20T08:00:00,0.71,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-11-27T08:00:00,0.44,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-04T08:00:00,0.52,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-11T08:00:00,0.55,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-18T08:00:00,0.44,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-21T08:00:00,0.11,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-22T08:00:00,0.09,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-23T08:00:00,0.09,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-24T08:00:00,0.06,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-25T08:00:00,0.03,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-21T08:00:00,1.692,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-22T08:00:00,1.031,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-23T08:00:00,0.723,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-24T08:00:00,0.299,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-25T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-04T08:00:00,1.521,m3/sec
